Country,LEI,GDP,EI,HDI
MHL,0.34479083544651906,1.0980478322157774,0.6256236675014776,0.6894874450545914
TUV,0.32576271348272073,1.4485094896594388,0.7492271605540873,0.8411664545654156
NZL,0.7295684803001878,1.3990447029186526,0.6482701904388775,0.9256277912192392
ATG,0.6528213883677308,1.4486687172881587,0.7665559770021291,0.9560153608860062
RUS,0.6536547842401507,0,0.5887555011051535,0.41413676178176806
IMY,0.7765574012520718,1.4341708293797826,0.3680138589949359,0.8595806965422634
ZAF,0.4611455909943723,1.2090134307344884,0.8524524697569651,0.8408704971619421
GHA,0.40177636022514024,0.9351845009565286,0.8184671556000921,0.7184760055939203
PAN,0.6703621013133215,1.1671758279942008,0.6828725687388792,0.8401368326821338
CHN,0.6306836772983123,0.8453006624252372,0.7455888414944355,0.7405243937393283
