Country,SP.DYN.LE00.IN,NY.GDP.PCAP.CD,SE.PRM.ENRR,SE.ADT.LITR.ZS
MNE,74.08619512195119,-5945.219982153785,119.1156265777683,23.072813954046723
KOR,70.3392682926829,4813.284872240271,102.74643,31.077370500740425
PRI,74.3935853658537,7535.74226992272,72.23272386295226,25.27524102772858
FRO,75.7146341463415,783.8090044559631,109.1425020305042,46.640532080114525
DZA,65.9894390243903,2402.82546156192,90.27185,32.970275797650736
SYR,69.51446341463419,901.6919597309219,105.21753000000001,37.10222916563321
CUB,74.6180487804878,2645.61016348463,101.69743000000001,30.760127756606916
MMR,57.9730243902439,3665.8516325847595,95.33582,28.866194721772178
SVN,72.4463414634146,9922.486120149044,95.27806,33.76461132771158
PRY,67.683243902439,1022.1058342575,102.01031,30.408346062109405
SDN,55.1896829268293,635.556599868753,87.92718050373051,38.11416834655589
FRA,76.1,17696.5111500917,120.26666000000002,45.659722237729284
BFA,49.462902439024404,313.061833850929,30.316329999999997,32.73258789149645
CMR,53.3897804878049,1098.75584232312,101.17233,47.60999422040085
GUM,71.5645853658537,10147.514868549977,85.01301,38.4313007453254
TJK,63.276365853658504,926.8685256286444,124.0494986531444,29.26402527241357
ISR,74.4365853658537,9881.242711402328,98.0535,15.423336598219038
FIN,74.57707317073171,22056.7017537988,100.9086,32.64651906260913
COL,68.0547317073171,1189.14061772507,104.69839,43.101748364095144
MNA,63.7131179256549,1262.4289884413738,93.6158599853516,35.78388845551225
SSA,49.880238416475294,601.247314597357,73.172737121582,40.53916380311848
PRT,73.7146341463415,5624.25057998869,125.66978999999999,28.18894071437589
TCD,46.6636097560976,265.435478774305,45.51093,38.475208678056745
NAC,74.96835495401609,21219.421667142098,101.833358764648,38.55000364434669
ARG,71.14590243902441,3969.32766134127,106.71266000000001,40.93602867785118
WLD,65.0448693454249,3740.72846266212,100.306312561035,41.41722650542863
PRK,68.6576829268293,4363.172634606059,66.54112189899831,28.2303418881921
EAS,68.7367298924755,2438.01753576302,121.54727172851601,32.05515609300453
NIC,62.6199024390244,662.953572989785,86.4945,57.498695423092514
GRL,64.5824390243903,16397.950193876102,94.82875219668747,40.22996093849324
LMC,58.9261075263799,458.41414943329596,90.50302124023442,47.00054609940885
KWT,71.90053658536591,10331.4972365896,98.66246,43.84501005769577
MHL,60.400984762288175,1604.2484624288,69.86414712112692,36.98801135113761
TUV,50.13261425106282,11241.024970046983,126.26867250046016,37.81491385000525
NZL,74.42439024390241,13759.071803833998,104.64346,40.87729577159122
ATG,70.67973170731709,5415.84780956705,110.07744770706233,49.02184686556779
RUS,69.4643902439024,-2902.359980661351,107.34472,37.35691361501853
IMY,55.69548900873757,-6681.510483424694,100.75055791613609,33.99151825795899
ZAF,61.4238048780488,3398.64135411112,80.59088,37.53058535442874
GHA,55.693634146341495,375.22501901164804,69.80636,43.25921963745693
PAN,72.5771707317073,2057.81729942772,99.68668000000001,25.81034283175277
CHN,69.0423902439024,282.056782845448,132.33556000000002,55.174018768895564
