Country,x1,x2,x3,NY.GNP.PCAP.CD
RUS,1.3019567208926757,2.6620424208889633,-0.8867821949467309,17.35869604812592
IMY,3.39495578987907,8.305842976468396,11.27676220037666,1622.8308270868224
ZAF,18.065829011978305,14.345873383651975,4.990123081013586,780.0
GHA,35.85409166394697,9.168261103861507,16.356050168840525,250.0
PAN,41.231784849132865,9.312474212846011,15.094578936944337,710.0
CHN,33.865370306309174,-3.8392257683919757,-0.02801963571435584,120.0
HKG,-21.497596939987417,-5.250487438968193,5.327168539144921,930.0
CYP,-2.8757741300919526,-7.70201987560062,6.159594964125784,2095.4875412076267
NLD,17.129917429731286,-3.590873009874574,-9.401815237030005,2800.0
MAR,40.62224795577004,20.507114810580493,13.781514498783014,250.0
CHL,-14.50805191156023,3.6935651512815095,39.750379157156594,860.0
