Country,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43,x44,x45,x46,x47,x48,x49,x50,x51,x52,NY.GNP.PCAP.CD
NZL,-3.5178212025267412,-2.5697800339089896,-2.8298310534976565,24.211303463075243,-21.710636842371343,-2.2537594224653605,20.192164490144023,-14.277957670205295,-14.015580739301408,-0.4451435396008542,-2.1518383636213834,0.3841771035875346,-2.7756130166962962,1.1353518323191993,2.2521847055474176,-13.047973176944243,-6.40564359422844,3.1522922550287777,-3.1909938099670363,-1.4943750100351372,5.2469760328996955,11.48641903158478,0.5298785548868938,-1.0048119594205565,0.333122097024918,6.329031282046167,0.386094237499121,-5.8598286743774946,10.334073330681736,3.6959063468317463,-5.4058144518258535,-0.355683950608703,-0.4961549407523209,-0.2747200656908718,0.0570647937066866,-1.8718212233075262,6.215556364260395,0.3275381351863873,1.0322691633076126,2.497334338372779,0.3231920609262746,-4.569769416644635,-0.7001158794397415,-4.112840983893061,-1.7345271070352135,-0.46805832098009015,-1.2752241861899216,0.6830526291251625,1.0253598359682043,0.08277166978551673,-0.6701408241135837,-0.3944578538181686,28110.0
ATG,3.6395275892740666,-2.6514009633541207,2.3104315819747274,5.378813452466411,16.055874158235515,-2.8534506409504243,-2.557563063638691,-3.993465764598992,-21.930005164769103,-1.7042357077191048,1.4498761562412636,-9.32013041777504,-2.3998833717098034,-0.5727372318618401,2.1759593251125318,-4.335714206771222,-2.615513419234506,0.29833203949626386,1.4495048973501938,-3.14447867709043,-3.659968865722271,-10.249929720338699,-1.081158143496313,-1.5074352210398385,-3.4034083133327644,3.427936682773526,2.4851821525614093,1.6728129923109532,0.2324765701563648,3.200539470359737,-7.419398863023678,1.0197981233121953,0.9827808728453467,-0.9993520107711727,1.1212222400251268,0.8096924823965663,-0.5696980678812491,1.9256645227531033,-0.22733162247320793,-0.6648254871630381,-0.2300279765735836,0.35223434236705176,-0.7599244414793196,2.8342951500880877,2.2983634976369265,-0.23436998261922984,-0.043898626523703466,0.10817149090174277,-0.4516845871170858,-0.9220444505933992,-0.24308337586393422,1.4077406531772083,14750.0
RUS,-9.182161014852817,-1.0232171322036028,-6.672868248118666,3.0175097187490456,18.836407510541164,3.4497749146034216,-7.355622943441008,4.430069470331673,31.143714678174806,0.10359480259618192,-2.1157101081471144,0.9339663890794282,-1.014042237442876,1.2068461335069136,-0.006271040401225225,7.869470121027956,-2.381248046468544,-0.48613973643175723,-5.031514519059347,8.273062851162136,-3.836003415882417,-5.538346729595692,-1.274313957546327,0.030547656112340116,0.7913746988093293,0.9936374140360066,0.6359838056819525,1.02175252110565,-5.259731557207421,0.9056003940024524,1.5309154868005885,-2.848350307970753,-0.4037899569481967,7.5162045729628275,1.7251148080003977,-1.181832367694287,0.43847538396645325,-1.6302939835269261,6.001221599931388,-2.6195931344922383,0.2654525750880237,1.9427823980990822,-1.8825900270432403,-3.152479940287966,-1.414480402294816,0.1461873213628781,-0.6658487928364161,-0.5506163305736169,-0.27488829000726284,2.3642093710517083,-0.6205251001605327,-0.6815185019024298,7560.0
IMY,-3.6301710218039505,0.8686209317433731,-5.276966197455826,3.5445411651765255,-9.01899062044884,-7.81441564592522,7.673531587693168,9.187018951983351,-0.9422666495577349,-1.5334460905093976,10.360756382444439,-3.8520214178233703,0.18758176249263714,1.6881721292963863,-2.777146513931901,12.178471855749455,-1.463526718810651,-2.2233086789055676,2.284515863853507,3.0042989515219647,-3.281812789625377,0.27659233577493003,4.930874267040122,-2.2391295267572664,4.060659090746267,-2.935585482664462,-2.0508999524027334,-0.13181875383696606,2.320524195812683,3.043612708909267,-7.232515721280424,4.011949963783737,-0.1290383966786296,0.33784936516446507,-4.043899999962841,2.8081068287749678,-2.722928755229567,-1.719261837956914,-2.5149935965905117,0.9457233083644162,-0.6515328712600662,-2.363577144197709,0.9243824813166486,3.809969918131306,2.704115448480548,-1.6166991321362167,-0.2810725253801484,0.11666348512398943,-0.2637538154991886,-0.9956203123030791,0.10185569956579005,-0.9393833960218064,48300.0
ZAF,-4.058751817061275,-2.4522648970126815,-3.4442817472159906,21.276361195833243,-8.372854655815036,6.801835159872616,-20.59212908333179,-14.230573001602892,-4.99844554004326,-2.8456941506943427,-42.53057013620442,-4.302963409697857,-2.741081318436718,-0.05457980307650345,3.405691468247639,-4.049152397201461,-4.565433535018376,-0.5450714585564488,-11.28332356291178,-1.5054843158584552,2.088212818313637,4.920326460915918,-1.3405556086322612,-1.7229336886513984,5.047053467264001,-2.619039205240425,10.12401541385613,-0.48506794422531363,8.343092215818638,-0.16304851542843724,-2.963463330762983,0.7176158620335653,-0.11110127448618656,-0.7797304232804064,2.0868166740903833,-1.7152372094101218,-1.6429393710279985,-0.6620367775123928,-0.9638859761857792,-0.35971287190016377,-0.03368464563418015,-2.873346621734921,-0.2469046829489704,0.2980545443734922,-2.136576915286111,-0.09395500303505644,0.21826556990050272,-0.8386064770748091,-0.30047438666881804,-0.05598565436423455,-0.43019458160609364,-0.5914673303921368,5970.0
GHA,0.017087491758775164,-6.105685145312959,-0.3390257750770753,-38.66395335205643,11.205848219926827,-5.588963750554836,-17.946043747258344,-11.857009095161802,-11.033166279228322,-1.7645134378104816,-34.481819300168716,-3.4016862400092456,-3.3785666376376176,0.12702929718462364,0.7317609288612955,-2.747640313208716,-6.401300250555979,-3.2510372246478405,-5.90929066450833,1.1854545589949994,25.35863901670408,-10.343712791410752,-1.7203719212496948,-0.40830497618990286,0.7482993288807209,-4.808168205705195,-0.7549340444058336,-0.7193811465667053,-7.035489924981237,-3.085335610557023,-8.743042081696563,3.769088003505855,1.7779502123284572,-1.3603536832482135,1.7563949604657345,-2.2815880882885815,1.056683531666554,-2.293988306341701,-0.3601194341387645,0.15172042550143017,-0.8689962210773782,-2.038114921154744,-0.9186050480854804,-1.3292729830496253,0.08256578005042753,-0.41546887891505235,-1.091208296260289,0.9930603133532915,-0.020558096390264236,0.7448035754016054,-0.5061462209285151,-0.396161311661114,800.0
PAN,1.1243052949171486,-2.0987787837040646,3.1510586051111744,10.587905870836682,-1.9540460332465774,-0.8065872408644217,-5.288931449368761,-9.351244036916512,-4.2750776859610555,1.017985228349933,-60.124681066457555,-3.665311709237807,7.422018530802702,-2.2630966764373506,1.3852212514425803,-7.3029750134495615,-3.2981560257109868,-1.0369845327925737,-5.0805151296785525,2.2835128466102677,9.41230365488762,-10.344159088216259,-1.5277188261123045,-0.515417910816043,0.6565511773765089,-1.4511077808762267,4.299678011285213,-0.3445095851061557,1.3794025300932182,0.3492832908821858,0.4747871998402865,1.0487233432253893,0.2705195937931533,-1.6547332971357818,2.2343751384110773,-2.0675816071783304,-1.4942732742114415,0.0691386077929595,-1.584948204957441,-0.02829121250668354,-0.9310065307237447,-0.15786250000490903,0.7182625637967722,-1.976925560304803,-3.284416384367083,-0.47180093293623926,0.13032809817816293,0.21475795472548623,-0.33272083853478446,-0.6481526715223032,0.7441740564971951,0.28085380003346877,6300.0
CHN,1.8517147843036241,-0.22823681233681747,-6.832133197130161,5.7139256973837185,2.910190237058512,21.619305273272442,9.570818781747908,17.879439267784527,87.87033833613934,-1.9120941977307546,22.24689578719949,-6.086370169260014,6.4908613126515435,0.328369205360072,4.189010117327959,2.820346552973749,2.0359326272066594,-1.4555217698872722,-3.6897882835164513,9.081075359150375,4.794929757300724,-14.080002933463522,-1.366207170412697,35.62446327291269,-2.0324810918796663,3.6715493833041615,-0.2968808074107331,0.6045358392026878,5.961921568294861,0.13039549525222038,15.106736785144193,0.4982396321130381,2.499189575041543,24.98629164049854,1.2896494717894142,5.2782028996130705,8.320172190301857,-2.3678029212064065,20.01072258574704,-2.4727328294067243,0.6094398584438047,-0.37295841019832554,-1.4527131085040086,5.676231489372577,-1.3012490699075738,-0.8358735487366737,-0.19264839137721046,-0.8730991741471305,-0.5681420042833308,-0.9062621200704819,-0.2274226088247883,-0.687292466691389,2490.0
HKG,0.631851457671804,-0.8490536866504401,-2.421121740675196,9.75561290955629,-29.13854236906603,9.085293040440149,-17.368622593772837,6.4634480548852355,-10.077717570789364,1.5563531470984315,-22.74476235256406,1.1824687724138518,8.249660084663768,-0.5032586429456797,1.8168110802412656,-6.791422789200524,2.671530008660582,-0.426151072382623,-4.707102382105078,-12.84164860469555,1.82502090566578,-6.072857751393611,-0.7877075156531919,3.7551818629616402,0.9190436507498099,7.431432467183955,1.217789739156598,2.6868211718841826,13.32321480111734,-1.009129790841199,-6.928075952889437,-1.9387764485201728,0.6679614395528586,1.4186870863572054,-2.1684684180481963,-1.3635601847740915,4.20791189106539,0.46917528354202875,4.0137400584922265,1.1857772815308245,-0.20202949039492665,-0.8411223900455156,-1.0811158947016364,19.074625964756045,0.5766284896709202,-0.474066565299992,-0.947587612458276,-0.4069741964414557,0.5154144382793915,-0.4414319363043258,6.089184683338288,1.4254540600027032,32070.0
CYP,4.795698489752489,-2.554573224512872,11.204912260654298,20.093348144534357,-15.785502389604927,0.49473309941633464,-14.599570505821944,-7.379887387126809,-15.188822280256025,1.2514616268150136,-9.967863166103903,-9.227551333992714,1.9386548582695207,-0.09820017539798809,-0.9852457694349082,6.237395848072493,-1.2626797110762358,-2.179261505149531,-3.7769685247678972,-8.625658207133284,1.5655554816417903,-0.3310500472415463,0.0735076760943022,-0.6475809100686272,0.7571503717062438,1.9227268091687773,4.535247522175707,1.2373963339102514,0.2621170224387577,-2.103450126512031,-6.1658319014428296,2.141836590496744,0.0434642706169881,0.32189357718969647,-7.1426918284173055,-2.138024634439705,-1.3767581152254627,0.30331720603976586,0.2685647975679934,1.4242390869764505,-0.647452045517639,-1.6394250425720054,-1.082605827244115,-2.392463735035337,0.281133026706252,-0.4736789613298617,-2.2956706845631074,-0.02517036943203601,0.14511868817198273,-0.29380291374209117,-0.6718457350239462,0.9637618078024113,27000.0
NLD,3.9845393225983603,2.5881575038560842,-0.05581946031580465,19.124669279393387,-13.210345465200309,-3.3716103909457895,39.31427614479581,-8.328253829507368,-0.8432814093081646,2.0603554143096847,14.890636601379542,1.2055114835439436,-0.8744241497817009,2.146696954958825,0.5612367290874223,-8.987762939111064,9.16735824767715,-0.33009671337998236,-3.062807820100084,-1.583978594580849,6.3546221151770546,13.676165277874686,0.6625728165844416,-10.246897744608509,0.05854296566597372,9.135483725806239,1.9197222105621174,-0.8121593889316859,15.670857320800408,0.49189782601583787,-2.68803631804425,-1.4939971097548368,1.9950471888697896,0.4106819177471834,1.1542554326268613,0.2712351607346982,1.6224425798534796,1.0895657354907835,1.4922850756190196,-2.679517599425431,1.012962169178786,-2.6635125567029245,-3.453713832414695,2.1529852411059642,-2.526602421436087,-0.4289131369755218,2.148970894980089,0.335132745295838,2.9433183311633466,-0.46829774916505873,1.1917216613793165,0.1409434596909381,49390.0
MAR,-11.443212488701437,-2.8461284066322756,-3.8072702119245547,0.8070796135927127,26.43802729907246,-2.7417258156654327,-13.413947372176278,-14.709677145878368,-10.70542532369711,-3.020039199248199,-28.566490808718154,-7.771054160203118,-4.4999910781824655,-2.1118899874227455,-1.65141526881506,-19.28400523880599,-3.823986444496391,-3.08666010159957,-6.335177759738326,-5.644917389091369,5.210395961992013,-11.095840198202257,-1.631976457143075,0.2753350726737557,1.2461214026816974,-2.7797865577034186,3.188742140618756,-1.376866167771832,-3.0616877213200286,-0.5585317104381137,-4.587170186877049,-0.10432894103806573,2.481532593285508,0.35358770643504134,2.0677054159085433,-2.0566681343980324,-4.77652848938456,0.5672846352589247,-3.3552497832152546,-1.5352110663877596,0.7370048789028908,1.6903571818818475,2.6821338389628986,1.8826378204072092,-1.3909046747900615,-0.6372528966968762,-0.029780479546951955,0.4429385242862369,-0.44190132938222143,-0.39146626756523767,-0.2699762245519018,-0.04403236199354419,2280.0
CHL,-2.725791873942906,-2.3017902181891294,1.7153195543222983,10.893804941122353,-15.471529452404473,-1.2801011298642844,-25.128901317473645,-8.727270016277163,10.759365360337078,-0.4660649898665833,-6.497006659210256,-3.7797897071453015,1.3801920137293555,-0.2182224508400028,0.5962036908960464,-8.27267585669151,-6.057317269149144,-0.5766012216024903,-9.462149173969683,-5.09267101279161,12.236753559972067,-4.67584573350722,0.49044020668899446,0.041898220440032496,3.083051124546622,-0.3205747433232207,1.9674978197574005,-2.1449583112168775,5.0438371989328745,-1.9395114886963576,-2.643295805645243,0.5378462073892261,1.7985891231326288,-1.010152293523537,2.96994721568672,-1.8555365566809376,-0.3652575669597523,-0.3909319040732324,-2.0958750187576216,-3.3927001070238627,-0.7677661540579837,0.4806055978406552,-0.15014588837744763,-2.188270019752518,-3.6219261051120286,-0.4476392996771999,0.20798251316819227,-0.15128235580080068,-0.23218505731811537,2.3753296050665975,-0.1198028502348885,-0.5691542084795647,8740.0
MIC,-0.7839716103612524,7.183956653273137,-7.182821352850505,48.100982059773045,5.694216212310565,16.491916103146192,13.410184652862167,31.482530109747195,41.26467655366977,-1.7514082508733688,961.3186854707454,13.606303696202955,8.368543194839656,-1.7367304471947427,-2.0201946747265955,-0.7829995750418146,33.56223290760472,-0.513406902034494,96.03801734578263,32.59259333670067,4.67185011214919,13.33416592602418,-0.1294433250688677,4.598481585010937,-0.8461318250901373,9.838468202414493,1.2308820226544064,20.870797811743195,-3.065198341473833,0.7246259653670176,20.005412101957504,-0.1185225201106063,-3.8209719249299594,0.2825166505023866,-4.526083361634008,15.94451686242199,9.546027924709922,0.6041884738430435,10.50000825613526,-0.8235937433538543,-0.017746508552788587,10.142599023841832,-2.2333436647582716,4.356479039203148,11.139836254517542,2.995088577475298,0.3010685391025743,-1.2239565575664535,-0.5493517910394079,-0.6510695390888939,-0.39485723904356973,-0.600381955039484,2314.6676343008107
BRA,-7.1058686132669475,-2.147139729314733,1.0787596023294712,10.189608191627311,-0.6457555349977642,-0.07390055754520722,12.918903286829023,-8.940567533544542,8.214562517926485,2.7536236707536714,-0.8172625161075426,-5.496998506362986,-1.4042668339959534,0.44324558023645777,-1.6911156846041457,-2.1692686873563503,-1.2269073602629053,0.4680563762186441,-8.787899444586643,8.54467541339892,-4.460742920737363,-20.372679381971842,-1.216277547042922,0.04748664165988359,-1.7535195311347085,-0.6554781539362534,6.2905491778939195,0.9122710007215387,0.33970520312691854,-0.8282984566597851,-0.7108245168664091,-0.40637051289114723,-0.5623815387633525,2.7188577498489233,-0.09612199086172304,-1.0261189128889556,4.835076090871194,-0.7084123924011707,1.8879627816072517,-3.612087106214906,0.22205177098392775,-2.3250531338142055,3.048357060813056,0.6182339104446011,-2.61431278391053,-0.47491357324049965,0.024420832067784747,-1.2724458198374788,-0.359100366929164,-0.14278742672281605,-1.1626614530700303,-0.821848302139507,5980.0
BIH,-6.060189773614269,-2.87527709427701,-7.285967009448771,4.368961630862671,-12.363526259714417,-0.3012453458930431,8.703174968137787,-5.6817528007947065,-7.346348247913357,-0.2956949935096448,-37.40773752517724,-11.4194349224829,-1.4005147985932054,1.926535566379429,2.269546354388993,7.883649372268496,-2.640421240416585,-1.3542890469383286,-8.394570798152591,1.813241255609994,7.757443936171223,4.869900835683161,-1.4560773630989707,-0.23459043433764293,-0.4180971595321083,-1.5266949463259882,0.11467896283143675,1.4825912338490266,-4.99697250171096,0.4210016321748723,3.293086326180153,0.21849834796594536,-1.8044672546533562,-0.6499654930067573,-1.4533874683378674,-0.2502318284759576,-2.732983556215114,-1.125605378091075,-2.320059452645926,-0.9785437696694044,-1.132953652893691,-0.4778536428020389,0.8037180525429024,-2.6186938246100784,-2.0411214949915566,-0.434120369538025,0.4097081996707958,-0.4350245604417673,-0.12822038989553472,-0.3065913645319566,0.4095113762226315,-0.37257090192716585,3770.0
TZA,11.088297556746744,-3.1114548602571537,9.153031141141602,10.439385288275382,10.791287708027038,-6.710215460062974,13.502007081910843,-0.871267597191406,-12.431462810541829,-3.1391530550653477,-19.651231176633196,5.997878718506238,-0.3535325708737728,1.4761972055373909,1.9158240618022495,-0.716200995448918,-5.73328152599698,2.376726528642054,-5.231011271039437,-3.0351466746152105,19.55040060416457,-3.2996491663646608,0.28601131215886416,0.13623957672680292,0.10059651758034804,-5.309237768292608,-3.806253639630693,-2.7135943984615327,-1.4155506716721415,-2.41568612867549,-3.0942449619223007,-1.0529755038236583,-0.48096984700394463,-0.854549343436519,-2.681838151618928,-3.4380805094713867,1.9772759045203188,-0.9694732774301128,-2.9397296752157107,2.4147201796865483,-0.7300084805111576,-2.2531620582362066,-0.04940849466667316,3.1882106912915678,0.2813964727701753,-0.34338112137280563,-1.0250030622290334,0.24026730013914008,-0.5843563795899452,0.08710836024618397,-0.8405340363144878,-0.4027883079122505,510.0
