Country,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43,x44,x45,NY.GNP.PCAP.CD
PRT,-2.9808805939199874,-0.27323034961103787,-4.290050535705481,36.098176328303595,-15.320183119264998,-5.1118776661161585,-12.542320635920323,-8.008942149526183,-13.694597486914097,-1.9651627321079923,3.4889091116730238,-1.2158333959311083,-3.859548190949747,2.5819251785550543,9.42671239732493,4.104620907068981,-3.9360439285918725,2.696972665027964,0.8957604218871744,0.4747836917507213,-4.705774374812655,0.04159251038659484,1.4335479591171487,1.806448954744554,0.9313425847841146,-1.6030910080078589,-2.000759360639998,1.7327808761109984,0.020859178196651396,-0.42975511740230943,-0.4553047631387763,-2.324225590198561,1.2182866597940252,-1.148604566553014,-1.238035525010028,-0.8314395009393464,-1.8796387732160453,0.7639557086448369,-1.0656497088501227,-1.4883392648560534,1.1609159494602048,-0.25503563595350026,0.03955336937000323,-0.06506349522484264,1.504346540140138,12140.0
TCD,-1.4293930482406048,-0.7246143474070557,9.288257939339108,-133.02498303635355,-2.978092185445511,-6.693193795101566,8.265031949623697,-15.134082635029717,-25.114832621152825,-1.1481016620747244,-28.854231341062462,9.085129770871818,1.339798394264465,-0.18971245912755944,2.772135760715501,-3.804247342033093,-5.598173778968394,-4.7574328349071155,-8.537391136326757,-0.37863957499140594,1.9096925455689555,3.125386240254817,-1.8560615033109535,-2.1597541692281506,-0.9368544641358381,1.618575987764593,0.029629725804675905,0.7777660736407963,-0.6482256024542734,0.463850819626811,2.1868443581714123,-1.7803766144605833,1.408152420218172,-1.9254359705298685,-1.2535770940354722,-2.025020008377259,-0.7366016393081725,-1.3372372171677425,-0.1384853998078482,-1.5958300149337241,1.0607965434702313,-0.13223634292340175,0.03955336937000323,0.08810019791335971,0.7998642696143891,180.0
NAC,-0.7335182742793234,-1.0427175520572347,5.749844249653399,31.833027184618413,-3.7242192930754903,27.661369735215725,13.503289245126593,48.036502401092264,28.743709973469755,-1.8556448418244602,-2.4809803675725663,-2.2540159095258776,7.79267705694672,-0.0478921976492086,2.2340263029105283,8.980538340468787,2.8522256861387074,12.730508531801629,11.220064026163872,1.1861254778690644,14.961596275406666,-1.4983504666280665,0.7946478026327716,1.7170109529943267,0.44472894913261746,7.947235079531026,14.235926731055537,-1.3015892506489597,-0.45806114930930336,2.067493780126552,0.48046309608454163,1.6175182299396134,2.483725342705233,1.0674524969824597,12.257702334182799,4.728884335798866,9.856753505837483,0.10246685018512913,-1.8127738903776047,-3.5827585857025612,-0.21584338429845457,0.7282736434317643,2.6801592255598674,2.5704320206457987,-0.7006812193132288,34749.7240710631
ARG,-8.444836257438917,-1.1695716400722336,0.851801514932877,26.633892838419587,8.257515273154572,1.1383956359264498,1.5727142384702426,-14.530831085734981,-20.124450822923983,0.7511190397258655,-7.192440145155574,-2.821240812816689,1.6914311867661715,0.06725743338919088,7.480170885314218,3.9779550487751556,-7.577363579267728,0.4764553002346569,-0.4232287694976061,-0.5893178914459921,-5.871879923644259,-1.772555998546824,-1.050846027856394,-6.194708031423499,1.772923010037204,-1.0831202394057786,0.44736917575665225,0.9833481510947755,-4.03260521238981,-0.8112005960999941,-1.76616833561127,-3.52561507429395,-2.626947274675744,-1.9870379603140786,-3.0036528560877636,-0.6750207247501943,-1.7687517787880986,-0.7299514196049384,-1.3485944907265421,-2.5886909438957524,2.36512104498554,-0.5025765652200371,0.03955336937000323,0.18103299618770782,-1.5480246350949798,7440.0
WLD,-10.873348083551283,-0.6428080319507493,-0.9071433055555281,68.36733298017077,13.519492083985028,99.98667301749983,-6.597218238791553,162.80911030941743,112.42751762313802,-0.1548340774525251,119.54740962793501,32.29890515856166,23.74008815871584,4.039283662548814,39.007024121290364,5.5971936511653615,193.94203314288248,13.540471164368707,65.7599574002659,0.5754131441223885,67.37781757232436,-5.6791844498386865,3.48735133033846,-2.5087586818611642,0.8122392694255054,43.82658289063616,28.62303469371898,0.7951856166347364,2.8592247523438523,1.4018030289521566,-1.4145872360255374,18.89337496666229,-0.6542544029272381,25.9408769508818,21.09384727798771,21.589532184971098,60.975854689979364,6.964120319563623,-0.8576479780749471,-2.265537840272477,-0.011511415108834654,0.27775841608931867,1.206843181817992,-0.536165872701185,2.0797637117961254,5434.26702803005
PRK,-0.5679543102233278,-1.1128083765951833,2.4436216762365093,-9.977685021372793,4.168555892562848,-3.0243410352192006,23.55624092055899,1.8317651376299837,21.04683907840054,1.096223800650257,-5.811121557590033,-0.40242788013833136,1.8595388122478895,3.3044486913019746,8.287399804677166,-11.541637189387986,-6.030741992893653,-4.9133875791498305,-3.6427710201385817,1.9771004011565703,-4.423277971744994,1.714139168069738,2.371006415565596,1.520052479876527,-2.2809211442903523,-0.029301036093962507,-2.5682836069319235,-0.6188456317498334,-0.04726556145382399,-0.7737743608933892,1.8101810546410326,2.1580897229221954,-0.867069386832934,-2.8697676542339967,-1.450128556159552,1.3536339419078982,-0.6360162075932119,-0.3946827054141048,2.2503716244803402,0.3517033166764661,-0.7119286719369113,0.07905423811854707,0.03955336937000323,-0.41570917815269337,0.1816670971919372,18569.490006788743
EAS,5.981912848784091,-0.5908324125941221,11.01274610739244,30.28084862377847,12.45370966990148,21.43225213257553,33.33448232831083,29.467937325376745,23.885710151211942,-1.06744348812127,9.664515545581466,-1.4088610058465387,4.8117676666199785,-0.8809733212773223,-4.788928256652546,0.04461438537977236,20.801112712869667,5.335875117806279,12.713287051751529,2.234669561024896,19.20078670419139,3.981117842989222,0.5438359100697151,-0.10321556249795255,0.9961909475104749,11.977460997597198,5.040242325967026,-1.1762909418838932,0.845371413647078,1.7202898383359098,2.197429853483929,1.8665164653038455,-1.1871671586581354,-0.39392563891302235,2.3698130850047656,0.4477630976983521,9.167168485090821,0.099144233980163,0.6900371126594413,2.293884230341485,-1.1672522120128785,-0.15949924385058817,-2.1801100637018145,-0.5691719178257778,0.5472871090012408,3756.98896468504
NIC,2.1690740429495587,-0.43085427208161176,-8.689290194440895,-15.682841260172511,-15.286573744596522,-11.481113038289608,-16.256721584482943,-15.202416371526102,-17.349181045073976,-1.6396733204873186,-1.4603249744866684,-3.386535310025081,-0.9269761024330833,2.346387019361056,-17.378745969079418,1.6206478248156586,-4.539298085594504,-3.5745110886364375,-6.2081618104207,-1.7105061254280678,-4.707075423531807,-1.647150141285974,-2.9198902489583314,-9.01102255099915,-0.9415467323463633,-1.7631708926940286,-0.08631325960301284,2.048485651996348,2.006961012249687,-1.3022807958359548,1.8947069554671505,-1.9448031138777833,0.18845718453663504,-1.0297826821023455,1.3500711145978428,-0.45857080220407714,-1.9207926349409772,1.9793828782356722,0.433560240410596,-0.5374469392458852,0.5104537493516806,0.1964377707469273,0.03955336937000323,-0.4365812165834965,-2.1365105004698592,970.0
GRL,-4.695416021493359,-0.13968175885711337,-13.030797365407729,-7.695988667202054,-10.9758098058327,-1.3614440723974452,9.254412851961291,-11.760662781189627,-9.77005983184408,-0.6687704998705969,-17.867642506533883,-0.33602955048984484,-2.692406538216233,1.2486309469467758,-7.322261007857042,1.22104411150421,-8.569603172127971,3.1759018821776377,-8.421461070371183,-1.3236426643338781,-4.808869463844813,2.013877127163638,-2.0507647142134453,-7.997420710416276,-0.7942451643863858,1.4831928708304982,-0.5308188919076869,1.4551089727151232,11.423135046149989,0.361000083635077,-0.7483973494108023,-1.1830220615758338,1.7682561731761544,1.6321899585276582,-0.11377839395846873,1.867014474751206,-1.5396117426754945,2.090040889600136,1.4509717811846574,-1.5020405007918114,1.0327483285261683,-0.4262324370327024,0.03955336937000323,-0.21856291085464052,3.135254014570674,20290.0
LMC,4.449398140584439,-0.5663270833022985,0.846770339816888,2.410386037042426,-1.400184061395748,8.565290142730609,-9.638773760062387,5.662350526918323,9.381771204856873,0.7538968283675029,299.74808493210793,10.836693652902284,0.31958489028672127,-3.0899181053877225,18.959054373917702,-1.5815637355704857,47.32720504284333,-1.1815817335972785,9.185381321207323,0.5225634124103772,5.7950846244708005,-2.9388270665034724,1.118662495207667,0.4468117306367694,-0.7401923722148342,0.9065391439090654,-1.1569732186286472,1.3578034965051842,-0.7458114590499538,-0.7463010448321484,-0.8217367518762166,4.105159603218478,0.8436184491638883,4.0975924540162705,4.429117767572146,4.310463160519872,0.5828275109692208,-0.5685315315081502,1.068118085108529,-1.2494685526402654,-0.7744771391117862,0.26691225327499407,-1.0987530541332462,-0.5715475026374399,-1.1357395585151067,543.61509462299
