Country,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43,x44,NY.GNP.PCAP.CD
EAP,-8.645511490325914,-0.2127565111186876,-10.790600255650821,10.149929189126189,1.8313399679918219,3.741227859047208,3.2526368473789087,-1.4908522572221583,13.747598644001277,1.6691773622423174,176.0204648767795,-0.5750216608921441,2.736420492368917,-3.6231050679236922,-2.734730966329423,19.57699537700396,-0.006492436645540944,9.629798333750108,-1.8181446760679258,-1.567009267439724,12.16641994350707,-0.10744709621649651,4.416369920794747,0.03824493301356002,0.7596428936280119,-0.6336215642262408,3.089842154536698,4.485787536226836,2.2083556337077273,-0.2689073744778608,0.2704721244457025,-0.26898374339404313,-0.3530529140601355,-3.227092077577855,-2.67035897258218,4.522634401738668,5.080160225638124,-3.205727810598164,0.10609406031478602,1.5449035477062967,-0.27622211102171706,2.437051669908007,-1.0901241676836897,-0.18717291049000873,978.854879182787
ERI,-2.062545576797848,-0.10422868346333887,-0.2161621510401799,-21.233276273002822,6.889929843515306,-4.825110145424277,57.51636948163301,0.8683890038997555,-10.700283977373559,1.553901091164623,-30.973744814117243,6.8750178867904035,-6.707443717306575,2.6553340127482388,-0.39127308728760846,-7.212972138197378,-1.5909348371894982,-6.442289271754394,1.5199782065700542,-1.634065652487957,-3.71519327214525,5.117251644849827,-0.7354395877077546,11.507392642182324,-0.7889732904480983,-0.6608638489469137,0.07145812136080121,-4.503293334156617,-3.5163124702566284,-0.3337492597849552,-0.5745697536141772,-1.0078780923862303,12.238421151704362,2.2658391664583086,-1.132741219001231,2.4285757642437913,1.2283971746103182,-1.317013255031306,-0.4565037301033922,1.4310676728741338,-0.48531057352402374,-0.7781670247550595,0.6989913099291651,1.8385247883751359,200.0
QAT,0.7753307690782618,0.5709848873510278,0.7639975423992323,23.82620294196103,1.6425116557400528,10.214774422903977,-5.198805417616254,-13.035550202812221,4.728763077742064,0.359752202111121,-6.779464644641089,-9.89427133915301,-1.3228098411441058,-2.6683072990836454,6.891130771002992,2.5053565017658714,-2.0774703961681853,-9.644563090460712,-1.7523018890164261,-1.7706130826719617,-2.4239725349798444,-0.3483604243325345,1.6335378246484087,-1.7720699884121567,-0.8884804358214224,0.5361622906021687,-4.38952280030432,0.45056498575913273,-2.663268889395692,1.1079273887436711,-2.382511706716684,0.5292989537586561,-0.39708747986612214,1.8072252636164015,-0.9495259759693999,0.9882769794884083,0.3226899395741773,0.0901254201535373,-0.19887407503793575,-0.9996636706698196,0.6981307285584699,0.45790246519281075,-0.2384971337970625,-0.9776305699212642,11450.431439373042
LDC,-0.542203191596545,-0.570677513138489,0.29000004589093686,-44.6707514639348,-9.790882525858455,-9.052017712818172,9.028906488191538,-6.652854527182946,-3.132120778056031,-3.4085409246132716,13.215802850720676,4.8535322200168425,-4.725959779525684,2.4831786975443437,-1.9703553207309268,42.52617689921333,-2.1882389395904456,1.7756165280363485,-5.226434302820433,0.9987754505584232,0.08438182432179087,-0.5211209792968635,-1.604440871504354,2.377715354147973,0.5452177836071512,-0.647349325561314,-2.7248224317086773,-2.226268817149732,-0.46724581205939697,0.3859335245599109,1.1385199840338245,-0.569404195183363,-0.2294872750502761,1.9334117746341106,3.1671472858619336,1.2755631146843123,-1.0167904928561335,-0.5616921862358832,5.32866434321227,-0.4999534246214534,1.1620291548980368,2.082189814841193,-1.603196071380792,0.6610419620840093,288.95617280720404
UZB,1.0240452419847001,-0.3866254772592227,-2.4984586910354762,-1.1272854847651388,-1.535502868296171,22.357389590629797,-19.546590868492835,-10.504347636010271,32.050980022064586,0.8723971412028163,-39.377999976594225,-6.499680904407564,3.4804859703325355,-1.7847033684728544,1.576554129421453,-5.053592256554053,-3.8655846058274235,-6.350935488053508,5.820540845610964,2.240423285821814,-3.643453410727436,-0.8569062866560808,-0.1800270683126317,-1.998703123094737,0.26460094657060385,-0.5908600634564816,-1.8996544197453848,-1.146029070224456,-0.7184963721564082,2.035636808024828,-0.30260346389985926,-0.5065252584143848,-0.6594795733862158,3.0506245272906245,-1.6453671848668223,-1.6705084689041518,0.24577465144528954,1.9184170779062986,-0.6355305761337932,-0.37474598925298364,0.7477553968389853,0.3934675452420917,-0.37861576365274136,-4.371540579896687,560.0
CPV,-3.484400759938061,-0.5261262434873828,2.6181562668689433,20.38733966931413,3.5779371051060425,-8.124990925373753,5.796214339522816,-6.551392128473974,-8.898867586112132,0.4006065262644227,-38.96098455134317,-0.917402993715632,-3.210245013295243,2.080602944851955,-2.2619903346471544,-4.25403342569567,-2.834890018387325,-6.354611475650227,-10.260585775241644,-1.0278020327767015,-10.68311689672281,2.3549151197531537,0.8358012000090919,1.4942265113169308,-0.7762492830694225,-0.4726269018510636,-0.8863947071075964,-1.7030326429168212,-1.5008926023338833,0.19223049304610107,-2.2682749607797326,-0.2085074196965544,-2.092601169737905,-1.8329382210454899,-0.14760729776925408,2.0100172918009953,0.20764298563149483,-2.2098326272838227,-0.3061201280945902,0.4694305556682974,-0.8838603417744131,-2.153086760135249,0.31626405069207575,1.7464054054140914,1310.0
MEA,-4.116328231502729,-0.2733477030344178,-11.671426958420106,-3.001591707945572,5.648064435211976,-0.5113442733808686,-21.36607543886331,10.070685015270827,11.579776252614428,0.7259767772329629,19.103660356982864,-0.07547383505215849,-3.300950583435393,-1.4103818571805864,-4.035806792658691,2.4766629981763497,-2.8698021544047094,-1.8673873127263279,1.3727831355771858,0.6800384537266165,2.8502953532679363,-0.021910542013473366,-2.8818427521276924,0.1358717059496276,1.033581460428889,-0.46212654508679374,-1.498507484364226,2.772418584216106,1.3061159004131253,-0.41217017181765164,-0.6581842253514092,-1.3283366576766307,5.316292653869047,-1.9805259333932046,-0.7256553347297019,-4.3506557553144525,-4.086131378341376,1.5655109719956575,3.318653980344164,-1.2702448827857091,0.2117011752486174,0.567683640777828,-0.8437962794780358,-1.069020763987199,2916.9761164509996
GRC,0.4484852553228835,-0.8175256931057039,3.2501075088243634,13.304364672805418,-11.751275668243872,1.3254813611615843,-14.943291534580034,-7.106621094586149,-9.317854368512378,-0.17774852657138884,-19.28140197962534,4.501542231308742,0.6637366677004581,-2.6330566043248202,0.03894096208555331,-1.1383101361152572,1.3749930665718348,4.696338771973002,-0.07405546025503096,-0.23567694053985283,-1.8849218894254247,1.3775595636462845,-1.3266226202028608,-2.949677250624604,-0.575929060773182,0.38548975413638703,-1.7736472796338836,-2.3276731452279877,-0.821590470726876,1.1643022789186772,-0.9258364756197843,-0.5829007584222423,-0.054798244665733936,-2.658132040070396,3.121425812651622,-3.7528788794823145,-2.282556253432605,-0.14086864833864202,-0.6545709824906625,0.7576293540197293,-0.51347334678036,0.8454626404313108,0.10182719641188055,0.7329647945359944,12940.0
BEL,-7.534847538923005,2.5350309675035336,7.708892921769971,26.810568308620894,-14.258351287437355,-0.08934605164317411,-35.86799630059264,-5.903496610471002,-6.413686166594921,-2.7523144666175243,-19.404524665365678,3.1744266226262905,-3.0111839255195054,-1.2958145915902595,0.04460096459777396,1.5019291570520923,5.24986182979308,2.5198441857849465,3.460591087884362,-1.5895008321990522,-3.805182164234979,2.4673349828199234,2.790986257859617,6.900496783362914,1.067032253708535,2.4756487636584454,-1.5040054908109464,-2.0066384086409608,-1.2567904380462822,-0.2893345813085215,-0.42016405410377017,1.298293499264124,-3.4279993040771846,-2.598954278973202,-0.7981601181812783,-1.9956299905922503,0.12243860134547985,-0.9281935192901094,-0.6518486569616756,-0.4289126344934907,-0.26273767510682494,0.09944120854741448,0.29497296166241904,1.8218107855483057,24530.0
WBG,-6.051880502569808,0.8827435562393641,-1.2550949135551288,2.067077199686485,-1.730719237890543,-1.905671746530084,-31.71552217076055,-12.843765661450062,-23.038560753736576,-4.877877525427753,-10.369619023175128,1.612999087092573,-3.3961710200346023,0.9346776944167593,1.2185638102483218,-4.970960115154115,-1.1522979309247205,-0.14557270031535158,-6.668227075596166,-1.153283245229262,-7.623709690032173,0.47970500243623504,1.0474916095020057,3.279860713396064,-0.9991566790125744,-0.4815878215241724,1.8098637069031867,3.5744729240327477,-1.8527507061568387,-0.33341600255947657,-2.409655738005527,-0.04540092662517279,5.293609881552704,-1.6924408883923956,1.4361890697578572,0.1198411835985489,1.5329092976191645,1.0298846026979036,0.325509515437493,-0.1479169197791872,0.5974222087386747,-1.5575181003741896,0.34792649720445346,0.34470867975922936,1390.0
