Country,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43,x44,x45,x46,x47,x48,x49,x50,x51
HPC,-34.39606945370652,-9.695794087877301,8.842103258113418,4.8629342697328175,-2.0770666881875117,-0.5482469222286096,-0.3461706845892263,-0.6950025359399536,-0.7199731377426737,-3.503399441810879,-0.8434298358108779,-2.4397813914041913,8.067564223534017,-5.807717623931065,-1.5492186990795658,-2.1000309263451147,-0.010069317313731743,2.3649508261578105,10.001535267302222,-3.7855386838879395,-4.995894459875753,0.2995455578388648,-9.027787035910941e-16,-1.7948487107259146,2.545811796811938e-16,-0.3526112115577034,39.13769181124428,23.17821776058765,-0.48598519570184506,0.16833569315649424,3.985236297084419,-0.12724803919413427,-0.38180203532416934,-9.233835437493863e-17,-0.636762899964707,-1.6899790072214342,-2.380085791442809,1.41512605566055e-17,-9.726519107042132e-16,0.1280305186950678,-1.2009037973868665e-15,-1.3903163665933047e-15,4.3026098557013357e-16,-5.65845203516808e-17,6.14285835960112e-16,-7.264283737188325e-15,1.855522713920538e-16,2.7755575615628914e-17,-9.71445146547012e-17,-1.734723475976807e-16,3.469446951953614e-16
HIC,22.18356720608263,80.40839179740513,5.425088647333294,15.083423070991577,18.83216943567461,0.6749470432420613,35.618311091763964,20.115345341615477,5.085770452643657,6.812162657707057,9.44201597266665,-0.5391159847495249,-5.53899214336338,1.7565456972186921,48.01365608810447,57.42871697599103,18.040585060786686,4.770187742921344e-16,0.2699564206666072,109.01793945555734,23.166431192124104,-0.5063206101200155,-9.027787035910941e-16,42.71107648265789,14.418006635853992,-0.4834051243860412,-7.668251674780222,-7.335345567834753,-1.2755379985673658,0.41741012923943094,0.3605072827268492,0.8486118457691575,-0.41188734605768473,14.810853640568467,1.3957149918800816e-16,5.524608432269307e-16,9.393537402709833e-16,-0.32686667032222433,-9.726519107042132e-16,-1.7649109876158867e-16,-0.634697825665047,-1.3903163665933047e-15,4.3026098557013357e-16,-5.65845203516808e-17,6.14285835960112e-16,-7.264283737188325e-15,1.855522713920538e-16,2.7755575615628914e-17,-9.71445146547012e-17,-1.734723475976807e-16,3.469446951953614e-16
NOC,18.10195322891054,14.752236912444195,-1.8132834498284212,4.4534048423254164,7.091567480307889,-0.11918655664012294,2.6990490227953363,3.629407748651026,0.6896330221561215,-1.1356514394811785,3.7680689215459644,-0.01700116887157654,-4.959081947659689,1.2781959593645607,5.998184730220024,4.1793258823886985,4.7799867121567905,4.770187742921344e-16,-8.450060523047702,9.541342512024398,4.071935163778098,-0.3629482479193194,-9.027787035910941e-16,6.296899335562718,0.7358448577456609,0.5721709397535972,-6.503930852228046,-5.3907516759693435,-0.4590591053198708,-0.27640879325131973,-0.3741065800905772,1.8926789579667702,-0.17860207032300965,0.9151327726610272,1.3957149918800816e-16,5.524608432269307e-16,9.393537402709833e-16,1.41512605566055e-17,-9.726519107042132e-16,-1.7649109876158867e-16,-1.2009037973868665e-15,-1.3903163665933047e-15,4.3026098557013357e-16,-5.65845203516808e-17,6.14285835960112e-16,-7.264283737188325e-15,1.855522713920538e-16,2.7755575615628914e-17,-9.71445146547012e-17,-1.734723475976807e-16,3.469446951953614e-16
OEC,19.3555698766684,71.82984115850209,5.093861216266886,8.718629354041044,20.19701405761598,1.1549394722996575,30.737077995767788,20.323717941594992,3.4803808380351673,9.659972733611955,4.713622520030147,-0.12987410352405723,-6.923929065394741,2.1003595713013556,38.1335140836488,49.2366175511558,14.130970222483098,4.770187742921344e-16,2.0453970125644454,94.87122510601995,21.363979988771547,-0.516969488388881,-9.027787035910941e-16,32.29563822490854,13.251291595205048,-0.6163536949154257,-7.160317306701339,-4.923521739541203,-0.8400614812327611,0.590423907230541,0.1750376243143817,0.32111225770524987,-0.43895184382542435,12.23261698755677,1.3957149918800816e-16,5.524608432269307e-16,9.393537402709833e-16,-0.4040496457606384,-9.726519107042132e-16,-1.7649109876158867e-16,-0.634697825665047,-1.3903163665933047e-15,4.3026098557013357e-16,-5.65845203516808e-17,6.14285835960112e-16,-7.264283737188325e-15,1.855522713920538e-16,2.7755575615628914e-17,-9.71445146547012e-17,-1.734723475976807e-16,3.469446951953614e-16
LCN,12.834828378789886,-1.0086287583662905,-0.43682858047840634,5.746503436486274,-0.714854943283882,-0.3320572027843692,2.9126955693122922,0.9306966088138762,2.66072817549713,-1.4474468027628906,0.013687608081401265,-0.9527427297789424,3.9700714289929557,8.617193994748249,0.7509198566522147,2.5462520086851517,-0.5773308312370224,-1.3064105744862322,3.7306913769147685,2.7255869182327124,1.664845580413118,-0.2638799204690188,-0.01856520085934733,0.6894506455850165,-1.6870449158000564,-0.8082893968417505,2.5777631521452924,0.6315898476318058,-1.6786660502981492,0.4459391539918206,-0.09487825423236115,0.24960428260505174,-0.6758439808326064,1.3071487413441059,0.04553251300485367,0.16410579929184863,1.7262359965321437,1.4719848899231245,-9.726519107042132e-16,7.405382860873643,-1.2009037973868665e-15,-1.3903163665933047e-15,4.3026098557013357e-16,-5.65845203516808e-17,6.14285835960112e-16,-7.264283737188325e-15,1.855522713920538e-16,2.7755575615628914e-17,-9.71445146547012e-17,-1.734723475976807e-16,3.469446951953614e-16
LAC,9.682965998356092,-3.966714973463839,-1.0620481363787468,4.561103340625639,-1.4544364909342298,-0.3595013370364863,1.5902997709693918,0.5055489121016767,2.028873175443301,-1.44861013997384,-0.4527180279302083,-1.063339068144355,3.1528515620012287,10.576517101146697,-0.09748887555803344,2.4494323867418704,-0.9514684261233315,-1.1911177543132043,6.24994447875924,0.07625052369035834,0.7936504618478317,-0.24322200819781595,0.18641247774471387,-0.5053426982636003,-1.6076328348898665,-0.8048386497575011,2.402494210499365,260.2229001052126,-1.110531718264795,0.577026660344945,-0.19792054161121395,0.35852138014479895,-0.6855898879355113,0.5307997140840239,0.006678446340656036,0.0866804629987276,1.6259462321013511,1.482039805491765,-9.726519107042132e-16,7.679689849627639,-1.2009037973868665e-15,-1.3903163665933047e-15,4.3026098557013357e-16,-5.65845203516808e-17,6.14285835960112e-16,-7.264283737188325e-15,1.855522713920538e-16,2.7755575615628914e-17,-9.71445146547012e-17,-1.734723475976807e-16,3.469446951953614e-16
LDC,-24.338031580905405,-7.52639892337965,7.620920191016712,6.016270354785498,-2.3435555211999044,-0.5486623652786722,0.48412163368825123,-0.6244676691163348,-0.42774216463212333,-3.763619785277944,0.7531406918155911,-3.278783091631274,7.62197480303667,-8.969617167513716,-1.6102630694184383,-1.562081732254246,0.11749415893200207,2.0609138467855215,10.894628035907822,-3.454975081992062,-4.840948296588543,0.3226382562037614,-9.027787035910941e-16,-2.2395704721706386,2.545811796811938e-16,-0.4035403182542775,49.963413676631994,28.783375419997512,0.28163194789125234,0.14039268092459137,4.579247025543723,-0.187350109025325,-0.4441860309329451,-9.233835437493863e-17,-0.5435217205980084,-1.204778644423789,-2.0066906905495543,2.251769681558062,-9.726519107042132e-16,-0.05486712639376754,-1.2009037973868665e-15,-1.3903163665933047e-15,4.3026098557013357e-16,-5.65845203516808e-17,6.14285835960112e-16,-7.264283737188325e-15,1.855522713920538e-16,2.7755575615628914e-17,-9.71445146547012e-17,-1.734723475976807e-16,3.469446951953614e-16
LMY,45.535430651617574,36.55581840924177,20.17173456349189,30.341088386680813,6.673560147396421,-0.5203302393665926,29.156283062204913,10.003344190538071,10.769458187739286,26.095537364877,10.417011505567794,-2.4824290916297946,3.7718011648100918,-0.5227431426636974,11.557677485658278,56.914685458333054,8.985745507256894,-0.1452231307498144,4.184603793835757,46.67690687963904,13.270083592508465,0.05644016410114326,-0.045183128981078784,14.407304090603851,3.5840195392679846,-0.5528652593535534,190.88846229160936,1204.3873364240164,0.5240077181302194,0.0676244381196983,12.901867365826405,1.7066162086986423,-0.5890196482141679,17.000838107222613,-0.10148566596946829,5.524608432269307e-16,9.393537402709833e-16,1.41512605566055e-17,-9.726519107042132e-16,12.099837854962058,-1.2009037973868665e-15,-1.3903163665933047e-15,4.3026098557013357e-16,-5.65845203516808e-17,6.14285835960112e-16,-7.264283737188325e-15,1.855522713920538e-16,2.7755575615628914e-17,-9.71445146547012e-17,-1.734723475976807e-16,3.469446951953614e-16
LIC,-32.17220796070452,-7.054585165145074,8.32523092816257,3.079736763679337,-1.6976218321572887,-0.5531230610926833,-0.18038378269496103,-0.7179665586717926,-1.0144893009027025,2.2244461033498597,0.14758049970500806,-2.5275678272473447,9.763734174628214,-10.439742965134194,-1.4398552487810174,-1.8879692574070155,-0.5280005052969189,2.8651488352336054,15.924597187002053,-3.3139187067620157,-5.385323019587716,0.27645285947396797,-9.027787035910941e-16,-1.1994435437491335,2.545811796811938e-16,-0.4440685779677368,41.475274767046066,129.40564579423116,-0.7088305318041535,0.27581342990872576,3.4981765787093124,-0.2396630705823537,-6.808550040518916e-17,-9.233835437493863e-17,1.3957149918800816e-16,5.524608432269307e-16,9.393537402709833e-16,1.41512605566055e-17,-9.726519107042132e-16,-0.09317454820144709,-1.2009037973868665e-15,-1.3903163665933047e-15,4.3026098557013357e-16,-5.65845203516808e-17,6.14285835960112e-16,-7.264283737188325e-15,1.855522713920538e-16,2.7755575615628914e-17,-9.71445146547012e-17,-1.734723475976807e-16,3.469446951953614e-16
LMC,13.10897291548558,6.683013289282925,8.843053626987894,10.177297899707854,0.5202830311723591,-0.5211761672708412,7.355890347129121,1.233553370919914,3.6941101996997125,12.841196922260288,4.860130552680068,-2.4195535882812838,3.989046484811316,4.388148217254386,0.8647285846351715,12.789360478378256,3.0785421140745624,-0.3081168686944818,-11.314869757426537,6.42900732620276,0.8954596865616062,0.28820434464114336,0.05609246853417716,1.2325762604365806,-0.8483633823135961,-0.5682512813416244,45.12986842228159,405.53860819970697,0.5172567801993934,-0.3388518477805887,4.969998085037165,-0.1488866662151277,-0.4660452513508775,1.5002851872000096,0.08548451340100578,5.524608432269307e-16,9.393537402709833e-16,4.509118221394745,-9.726519107042132e-16,3.0997593175577016,-1.2009037973868665e-15,-1.3903163665933047e-15,4.3026098557013357e-16,-5.65845203516808e-17,6.14285835960112e-16,-7.264283737188325e-15,1.855522713920538e-16,2.7755575615628914e-17,-9.71445146547012e-17,-1.734723475976807e-16,3.469446951953614e-16
