Country,x1,x2,x3
MDV,-65.99210157065227,-12.974140539158515,9.634739580560844
MLI,-57.62926974660624,-41.07225913882954,10.220986701030645
PER,-29.810662605516757,8.283474930261884,-7.6219908104635845
MYS,-10.418058043680904,1.160388643648736,-9.470352972934625
EGY,-7.1842968439983075,-18.10931869449309,14.433075131825788
SYC,2.9804808243344194,-4.045183093787081,-17.200050633566843
SVK,-14.347689217324927,-8.638059358749615,20.110696528461446
NGA,-46.65397963088714,-3.1726073733149054,12.358740936003834
IND,30.639959083133437,-11.223080368935218,8.738116925771385
KAZ,-19.751419210537357,0.6466558823253371,-11.011125658521454
IDN,-6.947948432736008,133.9795166913517,82.41684796599252
GRD,-73.45812987237808,0.07518485157487859,-14.048863434934992
SLE,-52.05132457285652,-33.87327862900269,5.377755355456225
