Country,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42
HPC,-58.15216996360621,-8.379095237078376,7.832079313397615,2.2573475299452888,-0.6206028582439852,-0.5907118460790514,-1.9757728154117347,-0.661483340425969,-0.06539008423363957,-1.1523119962058648,-6.0287814576532694,2.1585222162208675,9.529941762002734,-7.304985351573459,-2.2538872940830017,-2.5035407270956687,-0.9890950430117741,-0.19961876655560998,-1.2759495083128405,0.17681346567554768,-1.4553324930279175,-0.46025980692995344,36.46561578047739,22.90698054721573,-0.21677659334571325,-0.2129559940899694,-0.21050366731370437,0.36199628498153125,4.709518911135698,-0.2933629267093958,0.8274326669301051,-3.7624224723408085e-17,7.045946846216657e-16,-7.55404407269333e-17,-2.2522606683494557e-16,1.249000902703301e-16,3.6498581934552026e-17,4.3986871685845766e-16,1.898123235649461e-17,4.3968893566709707e-16,4.133809134242604e-16,-5.963439618660181e-15
HIC,31.96004354718743,94.13595246631985,4.738524477834989,28.097498731154914,19.80200873593384,0.6279424648979399,42.92050907351296,18.00251668143781,5.352113429695681,11.21156684242262,21.86314771002302,-5.115733544841408e-17,2.532977938582545,120.76556888137219,4.355171858990633,16.674111077383312,14.286112149534421,-0.4768682132384084,46.19819447000706,0.78410556743795,3.940003226865908,-0.6630141730162475,5.787421603379828,1.8605846074945496,30.537975746771355,6.465401876792585,0.6370539966572312,0.8486127361284023,1.2328950038556687,-4.236155994477845e-16,-0.6013826958871583,-0.48292309357547464,-1.482554801341057,-0.3476729962002339,13.253726381605626,1.4681318477495773,3.6498581934552026e-17,4.3986871685845766e-16,1.898123235649461e-17,4.3968893566709707e-16,4.133809134242604e-16,-5.963439618660181e-15
NOC,12.805250071300593,5.422194003438184,-2.0310360663641003,5.7097666047920335,4.233114924540326,-0.1809688702905783,-0.24288305364593668,1.0719027604064677,-2.9112114872196235,3.2604018871657168,5.957768991547287,-5.115733544841408e-17,-5.854687838524276,1.727936096484307,-3.44943866839383,0.648605951593076,-0.18744887185745007,-1.862116002418375e-15,3.195414647680092,1.016284037527133,-21.999471908462397,0.5334807408166597,-0.7034126897472351,-1.4540628728869276,1.5839277422151556,1.232663048215473,0.05728193003177124,3.9239628595217173e-16,-0.1800281332622497,-4.236155994477845e-16,-0.43314255778480104,-0.20907036368206525,7.045946846216657e-16,-7.55404407269333e-17,0.7155536123600771,1.249000902703301e-16,3.6498581934552026e-17,4.3986871685845766e-16,1.898123235649461e-17,4.3968893566709707e-16,4.133809134242604e-16,-5.963439618660181e-15
OEC,30.65083306234452,90.42616600720922,3.8041149241494003,20.299769335938265,16.412126639424237,1.0329070951611605,39.26334562693555,20.980743544470286,5.942900949740317,7.349804464575834,18.096883417252393,-5.115733544841408e-17,3.0250757466098244,111.05625790799394,6.667652815925832,16.628835939063077,13.446060346713075,-0.4857978448893138,39.032893228751085,0.6154039476583724,1.020466929170488,-0.7410871152558081,-1.5860439633818277,-0.8426013640161792,26.940825425424208,4.953578631341794,0.773827225553502,2.5769767679193674,0.8046403072677448,-4.236155994477845e-16,-0.679470351664708,-0.6640192536662776,-1.2317086856669013,-0.3990048857899588,12.46320152771922,1.5389757839610156,3.6498581934552026e-17,4.3986871685845766e-16,1.898123235649461e-17,4.3968893566709707e-16,4.133809134242604e-16,-5.963439618660181e-15
LCN,26.28728967909899,-2.8242758525188445,0.6356570949453129,4.88827100117189,-1.9189912257470298,-0.36905160082247057,2.878304739885096,0.7531917161466906,-0.17554388942846,-1.5198368902407946,-0.949033179314845,-1.1143424563540425,-1.114193256455613,1.4323321674066456,-3.342193588239505,-0.28117294057893066,0.6538613606130325,-0.25195872849689693,1.2210061941537145,1.3042593246597363,-2.9216742926261134,-0.8630317557600589,9.425488923817454,4.616472791713009,2.7701631307142294,-0.16696569486901142,0.5417924413967613,-0.7406045875696173,-0.49074911024354184,-0.15874231286202303,-0.010398652575252647,-0.33274579008554045,-2.2666529144035557,-7.55404407269333e-17,-0.46125505247000215,1.249000902703301e-16,12.833381428065543,4.3986871685845766e-16,1.898123235649461e-17,4.3968893566709707e-16,4.133809134242604e-16,-5.963439618660181e-15
LAC,25.726421768954605,-6.368297801215255,0.12322939408716238,2.746675857441704,-3.097246923243309,-0.4056862880774305,1.1186763951142966,0.35290072304400694,0.49648372639164456,-1.726586834773508,-1.8333148644657424,-0.9794616709196192,0.052789250934632014,-1.533194903535662,-3.262673976422078,-0.7555271250588214,2.324353602884761,-0.13406419300596348,-0.1032008920822979,1.353702724847659,0.5882791334251902,-0.8646089610340606,8.708459662119694,297.14475179592796,1.1770061938139675,-0.20863155904749506,0.5708153393085905,-0.8191100596044039,-0.49745824015630663,-0.16221618793058518,0.09811230485736513,-0.23557224076852426,-2.332138741931389,-7.55404407269333e-17,-0.5630336461526296,1.249000902703301e-16,9.823910822876844,4.3986871685845766e-16,1.898123235649461e-17,4.3968893566709707e-16,4.133809134242604e-16,-5.963439618660181e-15
LDC,-47.87387048514363,-11.613659731347303,7.025621716500881,2.2301076981549377,-1.5022240167450387,-0.5936519375493297,-1.091126837297134,-0.6389332559872479,-1.5700684075596822,-0.5535152729278767,-5.288019009412483,2.3403063390434005,10.601396723440017,-6.106645999172564,-1.3054310852510083,-2.5290870862133215,-0.5843392432169063,-0.058704214333932955,-1.2955673990056666,-0.0038182586108730194,0.10422501139265032,-0.6380145021597959,37.458094147807394,24.715555868706517,-0.2172576016774945,-0.21933482741667115,-0.30412495969218484,0.023130525075098725,5.113978702551684,-0.27846384908534105,0.3384181324588776,-3.7624224723408085e-17,7.045946846216657e-16,-7.55404407269333e-17,-2.2522606683494557e-16,1.249000902703301e-16,3.6498581934552026e-17,4.3986871685845766e-16,1.898123235649461e-17,4.3968893566709707e-16,4.133809134242604e-16,-5.963439618660181e-15
LMY,24.38470924449322,17.333505978522933,19.903610450409353,33.816556621046985,0.39288732516368163,-0.5649322978163455,17.593606454920998,3.0687472760861865,-1.2230015510982117,7.09408077909133,12.12071109135178,-0.3056017663412915,8.017879197067147,18.076158293726486,26.01823383865965,2.0221429786435987,36.9967336053507,-0.11567856853049165,7.026401226877492,-0.03652262371529958,10.300897604105343,-0.6214100153784697,161.49065019200535,1000.8341335025946,3.6788837470625713,0.2826031424034419,0.06681494575916024,-0.7717718254459227,12.079291992892134,-0.06964889429350757,0.0426687499647816,-3.7624224723408085e-17,7.045946846216657e-16,-7.55404407269333e-17,1.8720819756830427,1.249000902703301e-16,3.410415971442769,4.3986871685845766e-16,1.898123235649461e-17,4.3968893566709707e-16,4.133809134242604e-16,-5.963439618660181e-15
LIC,-58.6494864524665,-8.449309625312539,7.248574056029926,0.10335745930221381,-0.8194305888866512,-0.5993863792649032,-3.2703376654579617,-0.6877912849901456,3.341995200722918,-0.1986316178346548,-2.2143352797134597,2.5350104886604927,15.451059503765293,-9.037120543019448,3.0335527180032837,-2.5370457571536753,-1.420575591067867,-0.21530746102563406,-1.1088576182832157,0.1374409738315492,13.084301337328199,-0.5979070524436051,31.245030636948567,88.79581785897149,-0.2199130491452904,-0.2529082915159156,0.06052331480701363,0.5825164594917609,4.019654073017138,-0.2605483740115959,0.578306293612755,-3.7624224723408085e-17,7.045946846216657e-16,-7.55404407269333e-17,-2.2522606683494557e-16,1.249000902703301e-16,3.6498581934552026e-17,4.3986871685845766e-16,1.898123235649461e-17,4.3968893566709707e-16,4.133809134242604e-16,-5.963439618660181e-15
LMC,-4.058885125179971,0.2175306864141955,8.960027081216934,8.989927263401482,-0.5408120617236795,-0.5645763530981533,2.412569259452952,0.1568379483076252,-0.9741042066702108,1.683331985357591,1.5520197315346063,-0.2503686776079746,-6.917671958213758,-2.469004417685472,13.426381325256711,-1.617295967880444,2.0731582995899767,-0.05538463811691749,0.12935073708530134,-0.5261678754147526,10.912655397236481,-0.5260275504283579,41.634081987830875,320.8497874796165,-0.06432097657043385,-0.18524448292543316,-0.41182168798283486,-0.9374556450006064,3.1919950735198195,-0.17068356695270612,-0.03284009146034291,-3.7624224723408085e-17,-3.149254302664022,4.302145627083252,0.9919149646085018,1.249000902703301e-16,1.3299816452405335,4.3986871685845766e-16,1.898123235649461e-17,4.3968893566709707e-16,4.133809134242604e-16,-5.963439618660181e-15
